meses,montoCredito,tasaRentaDisponible,tiempoResidencia,edad,numCredito,personasResponsable,telefono,trabajadorExtranjero,cuentaCorriente_A11,cuentaCorriente_A12,cuentaCorriente_A13,cuentaCorriente_A14,historiaCrediticia_A30,historiaCrediticia_A31,historiaCrediticia_A32,historiaCrediticia_A33,historiaCrediticia_A34,propositoCredito_A40,propositoCredito_A41,propositoCredito_A410,propositoCredito_A42,propositoCredito_A43,propositoCredito_A44,propositoCredito_A45,propositoCredito_A46,propositoCredito_A48,propositoCredito_A49,ahorrosCuenta_A61,ahorrosCuenta_A62,ahorrosCuenta_A63,ahorrosCuenta_A64,ahorrosCuenta_A65,tiempoEmpleoActual_A71,tiempoEmpleoActual_A72,tiempoEmpleoActual_A73,tiempoEmpleoActual_A74,tiempoEmpleoActual_A75,estatusSexo_A91,estatusSexo_A92,estatusSexo_A93,estatusSexo_A94,deudoresGarantes_A101,deudoresGarantes_A102,deudoresGarantes_A103,posesiones_A121,posesiones_A122,posesiones_A123,posesiones_A124,otrosPagos_A141,otrosPagos_A142,otrosPagos_A143,vivienda_A151,vivienda_A152,vivienda_A153,tipoTrabajo_A171,tipoTrabajo_A172,tipoTrabajo_A173,tipoTrabajo_A174,tipoCliente,scoreRiesgo,precioSeguro
20,4272,1,4,24,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.26089522,87397.93
18,1216,4,3,23,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0.87885404,92511.91
24,2896,2,1,29,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.13801175,86380.98
18,1530,3,2,32,2,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.37576807,88348.56
15,1403,2,4,28,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0.9752176,93309.38
26,7966,2,3,30,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0.29518282,87681.67
21,3414,2,1,26,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.011870558,85337.09
12,766,4,3,66,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0.0084664365,85308.92
30,4280,4,4,26,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0.9850605,93390.84
12,1386,2,2,26,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0.009036043,85313.63
